step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
314,125,12.33831325944442,0.104,2,0
315,123,12.101946522008637,0.13008130081300814,4,0
316,124,11.845495085611725,0.1532258064516129,5,0
317,122,11.547423097952858,0.20491803278688525,7,0
318,123,11.382251181125262,0.25203252032520324,7,0
319,123,11.537131317162094,0.25203252032520324,5,0
320,124,11.718639838995763,0.28225806451612906,5,0
321,124,11.816685624700282,0.21774193548387097,3,0
322,124,12.06427985531983,0.24193548387096775,4,0
323,123,12.447918949656772,0.2682926829268293,4,0
324,124,12.598677222707883,0.2903225806451613,4,0
325,124,12.644559100046019,0.3225806451612903,4,0
326,124,12.139678255176475,0.3467741935483871,6,0
327,123,11.807762889650157,0.3821138211382114,5,0
328,124,11.712037460277958,0.1935483870967742,4,0
329,125,11.56447662711617,0.112,5,0
330,125,11.553788344455153,0.08,5,0
331,126,11.565181849646512,0.07936507936507936,6,0
332,126,11.434033311261356,0.09523809523809523,6,0
333,127,11.562984753250555,0.09448818897637795,5,0
334,128,11.54726289560096,0.1171875,6,0
335,129,11.4890717134082,0.15503875968992248,6,0
336,127,11.39693467255763,0.2047244094488189,7,0
337,128,11.482661072937908,0.1953125,6,0
338,129,11.785381276968494,0.20155038759689922,8,0
339,130,11.943823015752974,0.2692307692307692,10,0
340,130,11.737378740785475,0.3384615384615385,10,0
341,131,11.848434717743848,0.4198473282442748,12,0
342,131,11.869879240255859,0.5038167938931297,11,0
343,132,11.801049193308003,0.5075757575757576,11,0
344,130,11.593538141183071,0.5923076923076923,11,0
345,129,11.24628644828938,0.3875968992248062,8,0
346,130,11.108264832344435,0.36153846153846153,8,0
347,132,10.976591236806064,0.3333333333333333,8,0
348,131,11.175710563776706,0.32061068702290074,5,0
349,131,11.527367900878573,0.3816793893129771,9,0
350,127,11.838228822483586,0.4566929133858268,9,0
351,124,12.055464648873288,0.532258064516129,9,0
352,123,12.004165645305022,0.5447154471544715,8,0
353,124,11.953950161374134,0.5564516129032258,7,0
354,124,11.636663592409427,0.6129032258064516,9,0
355,124,11.43103123491484,0.6774193548387096,9,0
356,124,11.412948852740245,0.7419354838709677,10,0
357,123,11.316948204625497,0.7804878048780488,9,0
358,123,11.321187083262968,0.8292682926829268,8,0
359,123,11.420647435677562,0.7154471544715447,8,0
360,122,11.396553473452467,0.5983606557377049,6,0
361,120,11.481498709956846,0.48333333333333334,5,0
362,119,11.371511821374769,0.4117647058823529,4,0
363,118,11.36861840037788,0.23728813559322035,4,0
364,117,11.500708448894677,0.23931623931623933,2,0
365,116,11.379238005302826,0.25,3,0
366,116,11.440946787702591,0.2413793103448276,1,0
367,115,11.539917300987785,0.25217391304347825,1,0
368,115,11.619876195785077,0.008695652173913044,1,0
369,113,11.75296354851809,0.017699115044247787,1,0
370,112,11.850282593742884,0.008928571428571428,1,0
371,112,11.96447099816722,0.03571428571428571,3,0
372,112,11.974861789170916,0.0625,3,0
373,111,12.290787925571728,0.10810810810810811,5,0
374,110,12.437450894164432,0.16363636363636364,6,0
375,110,12.2969722050575,0.21818181818181817,7,0
376,110,12.021861573626818,0.2818181818181818,7,0
377,109,11.77750689810402,0.3486238532110092,7,0
378,109,11.551535151535163,0.42201834862385323,8,0
379,109,11.549296466473484,0.5045871559633027,9,0
380,109,11.675760138546213,0.5688073394495413,9,0
381,109,11.874188200806719,0.6605504587155964,10,0
382,109,12.07352163064629,0.7522935779816514,10,0
383,109,12.096436461362003,0.8532110091743119,11,0
384,108,11.970701922982903,0.9629629629629629,11,0
385,108,11.80359784096089,1.0092592592592593,10,0
386,106,11.543777852366622,1.1226415094339623,10,0
387,106,11.691708048809792,1.1037735849056605,10,0
388,103,11.958287689073687,1.145631067961165,10,0
389,102,11.855031979847652,1.2549019607843137,10,0
390,100,12.042961076575102,1.38,10,0
391,97,12.039796232085024,1.5360824742268042,11,0
392,97,11.880639181708267,1.6494845360824741,11,0
393,95,11.99136008334624,1.8105263157894738,12,0
394,95,11.92120782036456,1.9157894736842105,11,0
395,94,11.594291246920006,2.0531914893617023,11,0
396,93,11.483621707192636,2.193548387096774,11,0
397,91,11.161678406224542,2.2967032967032965,11,0
398,91,10.91680814134138,2.4285714285714284,12,0
399,90,10.750754132851519,2.5555555555555554,11,0
400,86,10.289667939884312,2.802325581395349,11,0
401,85,10.581159866317769,2.9647058823529413,11,0
402,85,11.057611136564548,3.0941176470588236,11,0
403,85,11.30545676964794,3.223529411764706,11,0
404,83,11.307447760756551,3.433734939759036,11,0
405,82,11.067004128607008,3.6097560975609757,11,0
406,81,10.97137974107661,3.7901234567901234,11,0
407,81,11.072929228447165,3.6790123456790123,11,0
408,80,11.063619254775752,3.8625,11,0
409,78,11.169704486036338,4.115384615384615,12,0
410,77,11.056041201613924,4.298701298701299,11,0
411,76,11.283928165533272,4.5,11,0
412,74,11.393704701469503,4.783783783783784,12,0
413,71,11.526792015629727,4.549295774647887,11,0
414,70,11.432049789065816,4.771428571428571,11,0
415,70,11.366342731275848,4.928571428571429,11,0
416,70,11.224648732212051,5.014285714285714,10,0
417,70,10.933881996118622,5.1571428571428575,10,0
418,69,10.623193737962522,5.3768115942028984,10,0
419,67,10.785731262910607,4.940298507462686,9,0
420,66,11.093558944652544,3.893939393939394,7,0
421,65,11.02958908668176,3.1076923076923078,7,0
422,65,10.909424296976104,2.476923076923077,6,0
